time_s,power_w,phase
0.0,1332.0,takeoff
60.0,1332.0,takeoff
75.0,222.0,cruise
135.0,222.0,cruise
195.0,222.0,cruise
255.0,222.0,cruise
315.0,222.0,cruise
375.0,222.0,cruise
435.0,222.0,cruise
495.0,222.0,cruise
555.0,222.0,cruise
615.0,222.0,cruise
675.0,222.0,cruise
735.0,222.0,cruise
795.0,222.0,cruise
855.0,222.0,cruise
915.0,222.0,cruise
975.0,222.0,cruise
1035.0,222.0,cruise
1095.0,222.0,cruise
1155.0,222.0,cruise
1215.0,222.0,cruise
1275.0,222.0,cruise
1335.0,222.0,cruise
1395.0,222.0,cruise
1455.0,222.0,cruise
1515.0,222.0,cruise
1575.0,222.0,cruise
1635.0,222.0,cruise
1695.0,222.0,cruise
1755.0,222.0,cruise
1815.0,222.0,cruise
1875.0,222.0,cruise
1935.0,222.0,cruise
1995.0,222.0,cruise
2055.0,222.0,cruise
2115.0,222.0,cruise
2175.0,222.0,cruise
2235.0,222.0,cruise
2295.0,222.0,cruise
2355.0,222.0,cruise
2415.0,222.0,cruise
2475.0,222.0,cruise
2535.0,222.0,cruise
2595.0,222.0,cruise
2655.0,222.0,cruise
2715.0,222.0,cruise
2775.0,222.0,cruise
2835.0,222.0,cruise
2895.0,222.0,cruise
2955.0,222.0,cruise
3015.0,222.0,cruise
3075.0,222.0,cruise
3135.0,222.0,cruise
3195.0,222.0,cruise
3255.0,222.0,cruise
3315.0,222.0,cruise
3375.0,222.0,cruise
3435.0,222.0,cruise
3495.0,222.0,cruise
3555.0,222.0,cruise
3615.0,222.0,cruise
3645.0,610.5,landing
